Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
53,2021-04-12,HOU,1,34:09,9,18,.500,2,5,.400,4,1.000,7,3,24,15.9,+8
54,2021-04-13,MIA,1,22:32,4,16,.250,1,8,.125,3,1.000,3,4,12,-0.5,0
55,2021-04-15,SAC,1,31:14,8,19,.421,3,10,.300,4,1.000,4,2,23,14.5,+5
56,2021-04-17,SAS,1,26:54,6,18,.333,0,1,.000,4,.750,3,2,15,7.6,-4
57,2021-04-19,MIL,1,43:52,9,24,.375,1,4,.250,6,.833,7,2,24,20.5,0
58,2021-04-21,PHI,1,29:59,6,14,.429,0,3,.000,8,.875,7,2,19,14.2,-4
59,2021-04-22,BOS,1,25:33,6,13,.462,0,2,.000,4,.750,2,6,15,3.9,-14
60,2021-04-25,BRK,1,37:26,12,24,.500,4,5,.800,9,.889,1,1,36,22.5,-3
61,2021-04-26,NYK,1,40:55,14,26,.538,1,4,.250,6,.667,3,1,33,18.5,+7
62,2021-04-28,LAC,1,37:22,9,19,.474,1,6,.167,3,.667,3,1,21,12.2,+11
63,2021-04-30,UTA,1,29:11,13,19,.684,2,5,.400,3,1.000,2,3,31,23.0,+20
64,2021-05-02,OKC,1,36:26,11,22,.500,1,4,.250,10,.900,6,2,32,22.9,-3
65,2021-05-04,CLE,1,40:15,14,27,.519,1,6,.167,2,1.000,5,5,31,23.6,+12
66,2021-05-05,ATL,1,31:26,11,20,.550,1,2,.500,8,.875,5,1,30,22.0,-8
67,2021-05-07,NYK,1,35:02,3,12,.250,1,4,.250,9,1.000,3,2,16,10.3,+11
68,2021-05-09,LAL,1,35:07,5,14,.357,0,1,.000,13,.846,1,3,21,12.1,-22
69,2021-05-11,GSW,1,39:03,11,21,.524,4,9,.444,9,.889,4,3,34,23.4,-5
70,2021-05-13,POR,1,35:00,5,17,.294,0,4,.000,8,1.000,2,1,18,7.0,+2
71,2021-05-15,SAS,1,26:27,10,18,.556,3,8,.375,4,1.000,4,1,27,19.4,+32
1,2019-10-23,SAC,1,32:18,10,17,.588,2,4,.500,1,.000,10,5,22,17.3,+25
2,2019-10-25,DEN,1,41:24,6,21,.286,1,8,.125,6,.833,7,5,18,7.4,0
3,2019-10-26,LAC,1,38:27,10,20,.500,3,6,.500,8,.875,8,5,30,21.4,+12
4,2019-10-28,UTA,1,29:02,9,16,.563,1,3,.333,2,1.000,0,5,21,11.4,-15
5,2019-10-30,GSW,1,35:55,10,21,.476,6,10,.600,5,1.000,5,2,31,22.2,+20
6,2019-11-02,MEM,1,31:28,8,13,.615,3,3,1.000,2,1.000,2,3,21,10.6,+9
7,2019-11-04,PHI,1,32:05,15,19,.789,3,4,.750,7,1.000,3,5,40,31.7,+3
8,2019-11-07,MIA,1,35:33,6,13,.462,2,4,.500,8,1.000,5,3,22,13.5,0
9,2019-11-10,BRK,1,32:24,10,14,.714,4,5,.800,3,1.000,9,0,27,26.1,+40
